Metric,Result
Attribute Inference Risk,0.82
GeneralizedCAP,0.69
ZeroCAP,0.0
Median Distance to Closest Record,0.98
Hitting Rate,0.0
Membership Inference Risk,0.99
Nearest Neighbour Adversarial Accuracy,0.94
Common Row Proportion,0.0
Nearest Synthetic Neighbour Distance,0.05
Close Value Probability,0.99
Distant Value Probability,1.0
Authenticity,0.03
DetectionMLP,1.0
Identifiability Score,0.08
Distance to Closest Record,0.74
Nearest Neighbour Distance Ratio,0.33
Hidden Rate,0.0
